activity_id,activity_title,proposed_start,reason,skip_adjustment
activity_079,Prescription Medication Dose - Travel-Safe Pack,2026-05-30T06:00:00,"Activity requires blood_pressure_cuff, but the proposed time falls during travel to Bangkok and that equipment is not available away from home.",Flag for clinician review if skipped; do not double dose without instructions.
activity_079,Prescription Medication Dose - Travel-Safe Pack,2026-05-31T06:00:00,"Activity requires blood_pressure_cuff, but the proposed time falls during travel to Bangkok and that equipment is not available away from home.",Flag for clinician review if skipped; do not double dose without instructions.
activity_079,Prescription Medication Dose - Travel-Safe Pack,2026-06-01T06:00:00,"Activity requires blood_pressure_cuff, but the proposed time falls during travel to Bangkok and that equipment is not available away from home.",Flag for clinician review if skipped; do not double dose without instructions.
activity_079,Prescription Medication Dose - Travel-Safe Pack,2026-06-02T06:00:00,"Activity requires blood_pressure_cuff, but the proposed time falls during travel to Bangkok and that equipment is not available away from home.",Flag for clinician review if skipped; do not double dose without instructions.
activity_079,Prescription Medication Dose - Travel-Safe Pack,2026-06-03T06:00:00,"Activity requires blood_pressure_cuff, but the proposed time falls during travel to Bangkok and that equipment is not available away from home.",Flag for clinician review if skipped; do not double dose without instructions.
activity_079,Prescription Medication Dose - Travel-Safe Pack,2026-06-04T06:00:00,"Activity requires blood_pressure_cuff, but the proposed time falls during travel to Bangkok and that equipment is not available away from home.",Flag for clinician review if skipped; do not double dose without instructions.
activity_079,Prescription Medication Dose - Travel-Safe Pack,2026-06-18T06:00:00,"Activity requires blood_pressure_cuff, but the proposed time falls during travel to Sydney and that equipment is not available away from home.",Flag for clinician review if skipped; do not double dose without instructions.
activity_079,Prescription Medication Dose - Travel-Safe Pack,2026-06-19T06:00:00,"Activity requires blood_pressure_cuff, but the proposed time falls during travel to Sydney and that equipment is not available away from home.",Flag for clinician review if skipped; do not double dose without instructions.
activity_079,Prescription Medication Dose - Travel-Safe Pack,2026-06-20T06:00:00,"Activity requires blood_pressure_cuff, but the proposed time falls during travel to Sydney and that equipment is not available away from home.",Flag for clinician review if skipped; do not double dose without instructions.
activity_079,Prescription Medication Dose - Travel-Safe Pack,2026-06-21T06:00:00,"Activity requires blood_pressure_cuff, but the proposed time falls during travel to Sydney and that equipment is not available away from home.",Flag for clinician review if skipped; do not double dose without instructions.
activity_079,Prescription Medication Dose - Travel-Safe Pack,2026-06-22T06:00:00,"Activity requires blood_pressure_cuff, but the proposed time falls during travel to Sydney and that equipment is not available away from home.",Flag for clinician review if skipped; do not double dose without instructions.
activity_072,Daily Medication Dose - Maintenance Cycle,2026-04-13T07:00:00,"Activity requires blood_pressure_cuff, but the proposed time falls during travel to Tokyo and that equipment is not available away from home.",Flag for clinician review if skipped; do not double dose without instructions.
activity_072,Daily Medication Dose - Maintenance Cycle,2026-04-14T07:00:00,"Activity requires blood_pressure_cuff, but the proposed time falls during travel to Tokyo and that equipment is not available away from home.",Flag for clinician review if skipped; do not double dose without instructions.
activity_072,Daily Medication Dose - Maintenance Cycle,2026-04-15T07:00:00,"Activity requires blood_pressure_cuff, but the proposed time falls during travel to Tokyo and that equipment is not available away from home.",Flag for clinician review if skipped; do not double dose without instructions.
activity_072,Daily Medication Dose - Maintenance Cycle,2026-04-16T07:00:00,"Activity requires blood_pressure_cuff, but the proposed time falls during travel to Tokyo and that equipment is not available away from home.",Flag for clinician review if skipped; do not double dose without instructions.
activity_072,Daily Medication Dose - Maintenance Cycle,2026-04-17T07:00:00,"Activity requires blood_pressure_cuff, but the proposed time falls during travel to Tokyo and that equipment is not available away from home.",Flag for clinician review if skipped; do not double dose without instructions.
activity_072,Daily Medication Dose - Maintenance Cycle,2026-05-05T07:00:00,"Activity requires blood_pressure_cuff, but the proposed time falls during travel to Seoul and that equipment is not available away from home.",Flag for clinician review if skipped; do not double dose without instructions.
activity_072,Daily Medication Dose - Maintenance Cycle,2026-05-06T07:00:00,"Activity requires blood_pressure_cuff, but the proposed time falls during travel to Seoul and that equipment is not available away from home.",Flag for clinician review if skipped; do not double dose without instructions.
activity_072,Daily Medication Dose - Maintenance Cycle,2026-05-07T07:00:00,"Activity requires blood_pressure_cuff, but the proposed time falls during travel to Seoul and that equipment is not available away from home.",Flag for clinician review if skipped; do not double dose without instructions.
activity_072,Daily Medication Dose - Maintenance Cycle,2026-05-08T07:00:00,"Activity requires blood_pressure_cuff, but the proposed time falls during travel to Seoul and that equipment is not available away from home.",Flag for clinician review if skipped; do not double dose without instructions.
activity_072,Daily Medication Dose - Maintenance Cycle,2026-05-09T07:00:00,"Activity requires blood_pressure_cuff, but the proposed time falls during travel to Seoul and that equipment is not available away from home.",Flag for clinician review if skipped; do not double dose without instructions.
activity_072,Daily Medication Dose - Maintenance Cycle,2026-05-10T07:00:00,"Activity requires blood_pressure_cuff, but the proposed time falls during travel to Seoul and that equipment is not available away from home.",Flag for clinician review if skipped; do not double dose without instructions.
activity_072,Daily Medication Dose - Maintenance Cycle,2026-05-11T07:00:00,"Activity requires blood_pressure_cuff, but the proposed time falls during travel to Seoul and that equipment is not available away from home.",Flag for clinician review if skipped; do not double dose without instructions.
activity_072,Daily Medication Dose - Maintenance Cycle,2026-05-30T07:00:00,"Activity requires blood_pressure_cuff, but the proposed time falls during travel to Bangkok and that equipment is not available away from home.",Flag for clinician review if skipped; do not double dose without instructions.
activity_072,Daily Medication Dose - Maintenance Cycle,2026-05-31T07:00:00,"Activity requires blood_pressure_cuff, but the proposed time falls during travel to Bangkok and that equipment is not available away from home.",Flag for clinician review if skipped; do not double dose without instructions.
activity_072,Daily Medication Dose - Maintenance Cycle,2026-06-01T07:00:00,"Activity requires blood_pressure_cuff, but the proposed time falls during travel to Bangkok and that equipment is not available away from home.",Flag for clinician review if skipped; do not double dose without instructions.
activity_072,Daily Medication Dose - Maintenance Cycle,2026-06-02T07:00:00,"Activity requires blood_pressure_cuff, but the proposed time falls during travel to Bangkok and that equipment is not available away from home.",Flag for clinician review if skipped; do not double dose without instructions.
activity_072,Daily Medication Dose - Maintenance Cycle,2026-06-03T07:00:00,"Activity requires blood_pressure_cuff, but the proposed time falls during travel to Bangkok and that equipment is not available away from home.",Flag for clinician review if skipped; do not double dose without instructions.
activity_072,Daily Medication Dose - Maintenance Cycle,2026-06-04T07:00:00,"Activity requires blood_pressure_cuff, but the proposed time falls during travel to Bangkok and that equipment is not available away from home.",Flag for clinician review if skipped; do not double dose without instructions.
activity_072,Daily Medication Dose - Maintenance Cycle,2026-06-18T07:00:00,"Activity requires blood_pressure_cuff, but the proposed time falls during travel to Sydney and that equipment is not available away from home.",Flag for clinician review if skipped; do not double dose without instructions.
activity_072,Daily Medication Dose - Maintenance Cycle,2026-06-19T07:00:00,"Activity requires blood_pressure_cuff, but the proposed time falls during travel to Sydney and that equipment is not available away from home.",Flag for clinician review if skipped; do not double dose without instructions.
activity_072,Daily Medication Dose - Maintenance Cycle,2026-06-20T07:00:00,"Activity requires blood_pressure_cuff, but the proposed time falls during travel to Sydney and that equipment is not available away from home.",Flag for clinician review if skipped; do not double dose without instructions.
activity_072,Daily Medication Dose - Maintenance Cycle,2026-06-21T07:00:00,"Activity requires blood_pressure_cuff, but the proposed time falls during travel to Sydney and that equipment is not available away from home.",Flag for clinician review if skipped; do not double dose without instructions.
activity_072,Daily Medication Dose - Maintenance Cycle,2026-06-22T07:00:00,"Activity requires blood_pressure_cuff, but the proposed time falls during travel to Sydney and that equipment is not available away from home.",Flag for clinician review if skipped; do not double dose without instructions.
activity_016,Guided Yoga - Joint Care,2026-04-15T18:00:00,Proposed time overlaps travel and this activity cannot be performed during travel.,Move to the next free slot within 48 hours and lower intensity by one step.
activity_016,Guided Yoga - Joint Care,2026-05-06T18:00:00,Proposed time overlaps travel and this activity cannot be performed during travel.,Move to the next free slot within 48 hours and lower intensity by one step.
activity_016,Guided Yoga - Joint Care,2026-05-09T08:00:00,Proposed time overlaps travel and this activity cannot be performed during travel.,Move to the next free slot within 48 hours and lower intensity by one step.
activity_016,Guided Yoga - Joint Care,2026-05-30T08:00:00,Proposed time overlaps travel and this activity cannot be performed during travel.,Move to the next free slot within 48 hours and lower intensity by one step.
activity_016,Guided Yoga - Joint Care,2026-06-03T18:00:00,Proposed time overlaps travel and this activity cannot be performed during travel.,Move to the next free slot within 48 hours and lower intensity by one step.
activity_016,Guided Yoga - Joint Care,2026-06-20T08:00:00,Proposed time overlaps travel and this activity cannot be performed during travel.,Move to the next free slot within 48 hours and lower intensity by one step.
