activity_id,activity_title,proposed_start,reason,skip_adjustment
activity_121,Morning Blood Pressure + Medication Routine,2026-04-02T09:30:00,"A valid slot existed for this required instance, but the LLM did not include it in the schedule.","If missed, record the reason and resume the next scheduled dose without doubling medication."
activity_121,Morning Blood Pressure + Medication Routine,2026-04-02T11:00:00,"A valid slot existed for this required instance, but the LLM did not include it in the schedule.","If missed, record the reason and resume the next scheduled dose without doubling medication."
activity_121,Morning Blood Pressure + Medication Routine,2026-04-02T11:30:00,"A valid slot existed for this required instance, but the LLM did not include it in the schedule.","If missed, record the reason and resume the next scheduled dose without doubling medication."
activity_121,Morning Blood Pressure + Medication Routine,2026-04-02T12:00:00,"A valid slot existed for this required instance, but the LLM did not include it in the schedule.","If missed, record the reason and resume the next scheduled dose without doubling medication."
activity_081,Guided Breathing - Sleep Support,2026-04-02T12:30:00,"A valid slot existed for this required instance, but the LLM did not include it in the schedule.",Reschedule within the same week if symptoms are stable; otherwise mark for manual review.
activity_081,Guided Breathing - Sleep Support,2026-04-02T18:00:00,"A valid slot existed for this required instance, but the LLM did not include it in the schedule.",Reschedule within the same week if symptoms are stable; otherwise mark for manual review.
activity_081,Guided Breathing - Sleep Support,2026-04-02T19:00:00,"A valid slot existed for this required instance, but the LLM did not include it in the schedule.",Reschedule within the same week if symptoms are stable; otherwise mark for manual review.
activity_039,Fluid Checkpoint - Energy Stabilizer,,Proposed time is outside client availability or overlaps another scheduled event.,Replace with the closest balanced meal option and record deviation in the nutrition log.
activity_039,Fluid Checkpoint - Energy Stabilizer,,Proposed time is outside client availability or overlaps another scheduled event.,Replace with the closest balanced meal option and record deviation in the nutrition log.
activity_039,Fluid Checkpoint - Energy Stabilizer,,Proposed time is outside client availability or overlaps another scheduled event.,Replace with the closest balanced meal option and record deviation in the nutrition log.
activity_039,Fluid Checkpoint - Energy Stabilizer,,Proposed time is outside client availability or overlaps another scheduled event.,Replace with the closest balanced meal option and record deviation in the nutrition log.
activity_039,Fluid Checkpoint - Energy Stabilizer,,Proposed time is outside client availability or overlaps another scheduled event.,Replace with the closest balanced meal option and record deviation in the nutrition log.
activity_039,Fluid Checkpoint - Energy Stabilizer,,Proposed time is outside client availability or overlaps another scheduled event.,Replace with the closest balanced meal option and record deviation in the nutrition log.
activity_039,Fluid Checkpoint - Energy Stabilizer,,Proposed time is outside client availability or overlaps another scheduled event.,Replace with the closest balanced meal option and record deviation in the nutrition log.
activity_039,Fluid Checkpoint - Energy Stabilizer,,Proposed time is outside client availability or overlaps another scheduled event.,Replace with the closest balanced meal option and record deviation in the nutrition log.
activity_039,Fluid Checkpoint - Energy Stabilizer,,Proposed time is outside client availability or overlaps another scheduled event.,Replace with the closest balanced meal option and record deviation in the nutrition log.
activity_039,Fluid Checkpoint - Energy Stabilizer,,Proposed time is outside client availability or overlaps another scheduled event.,Replace with the closest balanced meal option and record deviation in the nutrition log.
activity_039,Fluid Checkpoint - Energy Stabilizer,,Proposed time is outside client availability or overlaps another scheduled event.,Replace with the closest balanced meal option and record deviation in the nutrition log.
activity_039,Fluid Checkpoint - Energy Stabilizer,,Proposed time is outside client availability or overlaps another scheduled event.,Replace with the closest balanced meal option and record deviation in the nutrition log.
activity_039,Fluid Checkpoint - Energy Stabilizer,,Proposed time is outside client availability or overlaps another scheduled event.,Replace with the closest balanced meal option and record deviation in the nutrition log.
activity_039,Fluid Checkpoint - Energy Stabilizer,,Proposed time is outside client availability or overlaps another scheduled event.,Replace with the closest balanced meal option and record deviation in the nutrition log.
activity_039,Fluid Checkpoint - Energy Stabilizer,,Proposed time is outside client availability or overlaps another scheduled event.,Replace with the closest balanced meal option and record deviation in the nutrition log.
activity_039,Fluid Checkpoint - Energy Stabilizer,,Proposed time is outside client availability or overlaps another scheduled event.,Replace with the closest balanced meal option and record deviation in the nutrition log.
activity_039,Fluid Checkpoint - Energy Stabilizer,,Proposed time is outside client availability or overlaps another scheduled event.,Replace with the closest balanced meal option and record deviation in the nutrition log.
activity_039,Fluid Checkpoint - Energy Stabilizer,2026-04-03T18:30:00,"A valid slot existed for this required instance, but the LLM did not include it in the schedule.",Replace with the closest balanced meal option and record deviation in the nutrition log.
activity_039,Fluid Checkpoint - Energy Stabilizer,2026-04-03T19:00:00,"A valid slot existed for this required instance, but the LLM did not include it in the schedule.",Replace with the closest balanced meal option and record deviation in the nutrition log.
activity_039,Fluid Checkpoint - Energy Stabilizer,2026-04-03T19:30:00,"A valid slot existed for this required instance, but the LLM did not include it in the schedule.",Replace with the closest balanced meal option and record deviation in the nutrition log.
activity_039,Fluid Checkpoint - Energy Stabilizer,2026-04-03T20:00:00,"A valid slot existed for this required instance, but the LLM did not include it in the schedule.",Replace with the closest balanced meal option and record deviation in the nutrition log.
activity_039,Fluid Checkpoint - Energy Stabilizer,2026-04-10T18:30:00,"A valid slot existed for this required instance, but the LLM did not include it in the schedule.",Replace with the closest balanced meal option and record deviation in the nutrition log.
activity_039,Fluid Checkpoint - Energy Stabilizer,2026-04-10T19:30:00,"A valid slot existed for this required instance, but the LLM did not include it in the schedule.",Replace with the closest balanced meal option and record deviation in the nutrition log.
activity_039,Fluid Checkpoint - Energy Stabilizer,2026-04-10T20:00:00,"A valid slot existed for this required instance, but the LLM did not include it in the schedule.",Replace with the closest balanced meal option and record deviation in the nutrition log.
activity_039,Fluid Checkpoint - Energy Stabilizer,2026-04-14T18:30:00,"A valid slot existed for this required instance, but the LLM did not include it in the schedule.",Replace with the closest balanced meal option and record deviation in the nutrition log.
activity_039,Fluid Checkpoint - Energy Stabilizer,2026-04-17T18:30:00,"A valid slot existed for this required instance, but the LLM did not include it in the schedule.",Replace with the closest balanced meal option and record deviation in the nutrition log.
activity_039,Fluid Checkpoint - Energy Stabilizer,2026-04-17T19:00:00,"A valid slot existed for this required instance, but the LLM did not include it in the schedule.",Replace with the closest balanced meal option and record deviation in the nutrition log.
activity_039,Fluid Checkpoint - Energy Stabilizer,2026-04-17T19:30:00,"A valid slot existed for this required instance, but the LLM did not include it in the schedule.",Replace with the closest balanced meal option and record deviation in the nutrition log.
activity_039,Fluid Checkpoint - Energy Stabilizer,2026-04-17T20:00:00,"A valid slot existed for this required instance, but the LLM did not include it in the schedule.",Replace with the closest balanced meal option and record deviation in the nutrition log.
activity_039,Fluid Checkpoint - Energy Stabilizer,2026-04-24T18:30:00,"A valid slot existed for this required instance, but the LLM did not include it in the schedule.",Replace with the closest balanced meal option and record deviation in the nutrition log.
activity_039,Fluid Checkpoint - Energy Stabilizer,2026-04-24T19:00:00,"A valid slot existed for this required instance, but the LLM did not include it in the schedule.",Replace with the closest balanced meal option and record deviation in the nutrition log.
activity_039,Fluid Checkpoint - Energy Stabilizer,2026-04-24T19:30:00,"A valid slot existed for this required instance, but the LLM did not include it in the schedule.",Replace with the closest balanced meal option and record deviation in the nutrition log.
activity_039,Fluid Checkpoint - Energy Stabilizer,2026-04-24T20:00:00,"A valid slot existed for this required instance, but the LLM did not include it in the schedule.",Replace with the closest balanced meal option and record deviation in the nutrition log.
activity_039,Fluid Checkpoint - Energy Stabilizer,2026-05-01T18:30:00,"A valid slot existed for this required instance, but the LLM did not include it in the schedule.",Replace with the closest balanced meal option and record deviation in the nutrition log.
activity_039,Fluid Checkpoint - Energy Stabilizer,2026-05-01T19:00:00,"A valid slot existed for this required instance, but the LLM did not include it in the schedule.",Replace with the closest balanced meal option and record deviation in the nutrition log.
activity_039,Fluid Checkpoint - Energy Stabilizer,2026-05-01T19:30:00,"A valid slot existed for this required instance, but the LLM did not include it in the schedule.",Replace with the closest balanced meal option and record deviation in the nutrition log.
activity_039,Fluid Checkpoint - Energy Stabilizer,2026-05-01T20:00:00,"A valid slot existed for this required instance, but the LLM did not include it in the schedule.",Replace with the closest balanced meal option and record deviation in the nutrition log.
activity_039,Fluid Checkpoint - Energy Stabilizer,2026-05-05T18:30:00,"A valid slot existed for this required instance, but the LLM did not include it in the schedule.",Replace with the closest balanced meal option and record deviation in the nutrition log.
activity_039,Fluid Checkpoint - Energy Stabilizer,2026-05-08T18:30:00,"A valid slot existed for this required instance, but the LLM did not include it in the schedule.",Replace with the closest balanced meal option and record deviation in the nutrition log.
activity_039,Fluid Checkpoint - Energy Stabilizer,2026-05-08T19:30:00,"A valid slot existed for this required instance, but the LLM did not include it in the schedule.",Replace with the closest balanced meal option and record deviation in the nutrition log.
activity_039,Fluid Checkpoint - Energy Stabilizer,2026-05-08T20:00:00,"A valid slot existed for this required instance, but the LLM did not include it in the schedule.",Replace with the closest balanced meal option and record deviation in the nutrition log.
activity_039,Fluid Checkpoint - Energy Stabilizer,2026-05-15T18:30:00,"A valid slot existed for this required instance, but the LLM did not include it in the schedule.",Replace with the closest balanced meal option and record deviation in the nutrition log.
activity_039,Fluid Checkpoint - Energy Stabilizer,2026-05-15T19:00:00,"A valid slot existed for this required instance, but the LLM did not include it in the schedule.",Replace with the closest balanced meal option and record deviation in the nutrition log.
activity_039,Fluid Checkpoint - Energy Stabilizer,2026-05-15T19:30:00,"A valid slot existed for this required instance, but the LLM did not include it in the schedule.",Replace with the closest balanced meal option and record deviation in the nutrition log.
activity_039,Fluid Checkpoint - Energy Stabilizer,2026-05-15T20:00:00,"A valid slot existed for this required instance, but the LLM did not include it in the schedule.",Replace with the closest balanced meal option and record deviation in the nutrition log.
activity_039,Fluid Checkpoint - Energy Stabilizer,2026-05-22T18:30:00,"A valid slot existed for this required instance, but the LLM did not include it in the schedule.",Replace with the closest balanced meal option and record deviation in the nutrition log.
activity_039,Fluid Checkpoint - Energy Stabilizer,2026-05-22T19:00:00,"A valid slot existed for this required instance, but the LLM did not include it in the schedule.",Replace with the closest balanced meal option and record deviation in the nutrition log.
activity_039,Fluid Checkpoint - Energy Stabilizer,2026-05-22T19:30:00,"A valid slot existed for this required instance, but the LLM did not include it in the schedule.",Replace with the closest balanced meal option and record deviation in the nutrition log.
activity_039,Fluid Checkpoint - Energy Stabilizer,2026-05-22T20:00:00,"A valid slot existed for this required instance, but the LLM did not include it in the schedule.",Replace with the closest balanced meal option and record deviation in the nutrition log.
activity_039,Fluid Checkpoint - Energy Stabilizer,2026-05-29T19:30:00,"A valid slot existed for this required instance, but the LLM did not include it in the schedule.",Replace with the closest balanced meal option and record deviation in the nutrition log.
activity_039,Fluid Checkpoint - Energy Stabilizer,2026-05-29T20:00:00,"A valid slot existed for this required instance, but the LLM did not include it in the schedule.",Replace with the closest balanced meal option and record deviation in the nutrition log.
activity_039,Fluid Checkpoint - Energy Stabilizer,2026-06-02T18:30:00,"A valid slot existed for this required instance, but the LLM did not include it in the schedule.",Replace with the closest balanced meal option and record deviation in the nutrition log.
activity_039,Fluid Checkpoint - Energy Stabilizer,2026-06-05T19:30:00,"A valid slot existed for this required instance, but the LLM did not include it in the schedule.",Replace with the closest balanced meal option and record deviation in the nutrition log.
activity_039,Fluid Checkpoint - Energy Stabilizer,2026-06-05T20:00:00,"A valid slot existed for this required instance, but the LLM did not include it in the schedule.",Replace with the closest balanced meal option and record deviation in the nutrition log.
activity_039,Fluid Checkpoint - Energy Stabilizer,2026-06-12T18:30:00,"A valid slot existed for this required instance, but the LLM did not include it in the schedule.",Replace with the closest balanced meal option and record deviation in the nutrition log.
activity_039,Fluid Checkpoint - Energy Stabilizer,2026-06-12T19:00:00,"A valid slot existed for this required instance, but the LLM did not include it in the schedule.",Replace with the closest balanced meal option and record deviation in the nutrition log.
activity_039,Fluid Checkpoint - Energy Stabilizer,2026-06-12T19:30:00,"A valid slot existed for this required instance, but the LLM did not include it in the schedule.",Replace with the closest balanced meal option and record deviation in the nutrition log.
activity_039,Fluid Checkpoint - Energy Stabilizer,2026-06-12T20:00:00,"A valid slot existed for this required instance, but the LLM did not include it in the schedule.",Replace with the closest balanced meal option and record deviation in the nutrition log.
activity_039,Fluid Checkpoint - Energy Stabilizer,2026-06-19T18:30:00,"A valid slot existed for this required instance, but the LLM did not include it in the schedule.",Replace with the closest balanced meal option and record deviation in the nutrition log.
activity_039,Fluid Checkpoint - Energy Stabilizer,2026-06-19T19:30:00,"A valid slot existed for this required instance, but the LLM did not include it in the schedule.",Replace with the closest balanced meal option and record deviation in the nutrition log.
activity_039,Fluid Checkpoint - Energy Stabilizer,2026-06-19T20:00:00,"A valid slot existed for this required instance, but the LLM did not include it in the schedule.",Replace with the closest balanced meal option and record deviation in the nutrition log.
activity_039,Fluid Checkpoint - Energy Stabilizer,2026-06-26T18:30:00,"A valid slot existed for this required instance, but the LLM did not include it in the schedule.",Replace with the closest balanced meal option and record deviation in the nutrition log.
activity_039,Fluid Checkpoint - Energy Stabilizer,2026-06-26T19:00:00,"A valid slot existed for this required instance, but the LLM did not include it in the schedule.",Replace with the closest balanced meal option and record deviation in the nutrition log.
activity_039,Fluid Checkpoint - Energy Stabilizer,2026-06-26T19:30:00,"A valid slot existed for this required instance, but the LLM did not include it in the schedule.",Replace with the closest balanced meal option and record deviation in the nutrition log.
activity_039,Fluid Checkpoint - Energy Stabilizer,2026-06-26T20:00:00,"A valid slot existed for this required instance, but the LLM did not include it in the schedule.",Replace with the closest balanced meal option and record deviation in the nutrition log.
activity_036,Balanced Breakfast - Protein Rebuild,2026-04-03T07:00:00,"A valid slot existed for this required instance, but the LLM did not include it in the schedule.",Replace with the closest balanced meal option and record deviation in the nutrition log.
activity_036,Balanced Breakfast - Protein Rebuild,2026-04-03T07:30:00,"A valid slot existed for this required instance, but the LLM did not include it in the schedule.",Replace with the closest balanced meal option and record deviation in the nutrition log.
activity_036,Balanced Breakfast - Protein Rebuild,2026-04-03T08:00:00,"A valid slot existed for this required instance, but the LLM did not include it in the schedule.",Replace with the closest balanced meal option and record deviation in the nutrition log.
activity_036,Balanced Breakfast - Protein Rebuild,2026-04-03T08:30:00,"A valid slot existed for this required instance, but the LLM did not include it in the schedule.",Replace with the closest balanced meal option and record deviation in the nutrition log.
activity_036,Balanced Breakfast - Protein Rebuild,2026-04-03T09:00:00,"A valid slot existed for this required instance, but the LLM did not include it in the schedule.",Replace with the closest balanced meal option and record deviation in the nutrition log.
activity_036,Balanced Breakfast - Protein Rebuild,2026-04-04T06:30:00,"A valid slot existed for this required instance, but the LLM did not include it in the schedule.",Replace with the closest balanced meal option and record deviation in the nutrition log.
activity_037,Sleep-Support Dinner - Energy Stabilizer,2026-04-03T09:30:00,"A valid slot existed for this required instance, but the LLM did not include it in the schedule.",Replace with the closest balanced meal option and record deviation in the nutrition log.
activity_037,Sleep-Support Dinner - Energy Stabilizer,2026-04-03T10:00:00,"A valid slot existed for this required instance, but the LLM did not include it in the schedule.",Replace with the closest balanced meal option and record deviation in the nutrition log.
activity_037,Sleep-Support Dinner - Energy Stabilizer,2026-04-03T10:30:00,"A valid slot existed for this required instance, but the LLM did not include it in the schedule.",Replace with the closest balanced meal option and record deviation in the nutrition log.
activity_030,Outdoor Walk - Aerobic Base,2026-04-03T11:00:00,"A valid slot existed for this required instance, but the LLM did not include it in the schedule.",Move to the next free slot within 48 hours and lower intensity by one step.
activity_030,Outdoor Walk - Aerobic Base,2026-04-03T11:30:00,"A valid slot existed for this required instance, but the LLM did not include it in the schedule.",Move to the next free slot within 48 hours and lower intensity by one step.
