id,title,category,priority,duration_minutes,details,frequency,facilitator_role,resource_pool,location,remote_allowed,equipment_required,prep_required,backup_activity_ids,skip_adjustment,metrics
activity_017,Mobility Flow - Recovery Focus,Fitness routine / exercise,64,30,Move through controlled range-of-motion work and keep breathing relaxed.,"{""times"": 3, ""period"": ""week""}",physiotherapist,allied_health,home,True,"[""yoga_mat""]","[""Yoga mat ready"", ""Quiet floor space""]",[],Move to the next free slot within 48 hours and lower intensity by one step.,"[""stiffness_score"", ""pain_score"", ""mobility_minutes""]"
activity_018,Low-Impact Walk - Aerobic Base,Fitness routine / exercise,64,45,Walk at a pace that slightly elevates breathing while keeping posture tall.,"{""times"": 4, ""period"": ""week""}",self_guided,self,park,False,[],"[""Comfortable walking shoes""]",[],Move to the next free slot within 48 hours and lower intensity by one step.,"[""steps"", ""distance_km"", ""average_pace""]"
activity_019,Mobility Flow - Core Stability,Fitness routine / exercise,64,30,Move through controlled range-of-motion work and keep breathing relaxed.,"{""times"": 3, ""period"": ""week""}",physiotherapist,allied_health,home,True,"[""yoga_mat""]","[""Quiet floor space"", ""Yoga mat ready""]",[],Move to the next free slot within 48 hours and lower intensity by one step.,"[""stiffness_score"", ""mobility_minutes""]"
activity_020,Guided Yoga - Mobility Reset,Fitness routine / exercise,69,45,Use slow transitions and extended exhales to support recovery and mobility.,"{""times"": 2, ""period"": ""week""}",health_coach,allied_health,home,True,"[""yoga_mat""]","[""Set up quiet room""]",[],Move to the next free slot within 48 hours and lower intensity by one step.,"[""stress_score_post"", ""sleep_readiness""]"
activity_021,Breath-Led Yoga - Aerobic Base,Fitness routine / exercise,65,45,Use slow transitions and extended exhales to support recovery and mobility.,"{""times"": 2, ""period"": ""week""}",physiotherapist,allied_health,home,True,"[""yoga_mat""]","[""Set up quiet room"", ""Reduce screen exposure beforehand""]",[],Move to the next free slot within 48 hours and lower intensity by one step.,"[""session_minutes"", ""stress_score_post"", ""sleep_readiness""]"
activity_022,Strength Session - Core Stability,Fitness routine / exercise,72,75,Complete compound lifts with controlled tempo and moderate load progression.,"{""times"": 2, ""period"": ""week""}",exercise_physiologist,allied_health,gym,True,"[""dumbbell_set""]","[""Complete activation drills"", ""Prepare workout log""]",[],Move to the next free slot within 48 hours and lower intensity by one step.,"[""sets_completed"", ""session_rpe"", ""load_used""]"
activity_023,Posterior Chain Session - Joint Care,Fitness routine / exercise,70,75,Complete compound lifts with controlled tempo and moderate load progression.,"{""times"": 2, ""period"": ""week""}",exercise_physiologist,allied_health,gym,True,"[""dumbbell_set""]","[""Complete activation drills""]",[],Move to the next free slot within 48 hours and lower intensity by one step.,"[""session_rpe"", ""load_used""]"
activity_024,Cardio Recovery Run - Recovery Focus,Fitness routine / exercise,63,60,Maintain a sustainable aerobic effort and log exertion after the session.,"{""times"": 3, ""period"": ""week""}",strength_coach,allied_health,gym,True,"[""treadmill""]","[""Bring water bottle"", ""Light dynamic warm-up""]",[],Move to the next free slot within 48 hours and lower intensity by one step.,"[""heart_rate_average"", ""distance_km""]"
activity_025,Recovery Walk - Joint Care,Fitness routine / exercise,69,30,Walk at a pace that slightly elevates breathing while keeping posture tall.,"{""times"": 4, ""period"": ""week""}",self_guided,self,park,False,[],"[""Comfortable walking shoes""]",[],Move to the next free slot within 48 hours and lower intensity by one step.,"[""distance_km"", ""average_pace"", ""steps""]"
activity_026,Recovery Yoga - Mobility Reset,Fitness routine / exercise,67,45,Use slow transitions and extended exhales to support recovery and mobility.,"{""times"": 2, ""period"": ""week""}",self_guided,self,home,False,"[""yoga_mat""]","[""Set up quiet room""]",[],Move to the next free slot within 48 hours and lower intensity by one step.,"[""session_minutes"", ""stress_score_post""]"
activity_027,Guided Yoga - Recovery Focus,Fitness routine / exercise,72,30,Use slow transitions and extended exhales to support recovery and mobility.,"{""times"": 2, ""period"": ""week""}",health_coach,allied_health,home,True,"[""yoga_mat""]","[""Reduce screen exposure beforehand""]",[],Move to the next free slot within 48 hours and lower intensity by one step.,"[""session_minutes"", ""stress_score_post""]"
activity_028,Cardio Recovery Run - Mobility Reset,Fitness routine / exercise,76,60,Maintain a sustainable aerobic effort and log exertion after the session.,"{""times"": 3, ""period"": ""week""}",exercise_physiologist,allied_health,gym,True,"[""treadmill""]","[""Bring water bottle"", ""Light dynamic warm-up""]",[],Move to the next free slot within 48 hours and lower intensity by one step.,"[""rpe"", ""distance_km""]"
activity_029,Focus Mobility Routine - Mobility Reset,Fitness routine / exercise,67,20,Alternate near and far focus work with controlled visual tracking drills.,"{""times"": 1, ""period"": ""day""}",self_guided,self,office,True,[],"[""Screen brightness reduced"", ""Timer prepared""]",[],Move to the next free slot within 48 hours and lower intensity by one step.,"[""eye_strain_score"", ""routine_minutes""]"
activity_030,Outdoor Walk - Aerobic Base,Fitness routine / exercise,73,30,Walk at a pace that slightly elevates breathing while keeping posture tall.,"{""times"": 3, ""period"": ""week""}",self_guided,self,park,False,[],"[""Comfortable walking shoes""]",[],Move to the next free slot within 48 hours and lower intensity by one step.,"[""average_pace"", ""steps"", ""distance_km""]"
activity_031,Interval Bike Session - Core Stability,Fitness routine / exercise,67,45,Alternate harder efforts with recovery segments and track response across intervals.,"{""times"": 2, ""period"": ""week""}",self_guided,self,gym,False,"[""stationary_bike""]","[""Review interval targets""]",[],Move to the next free slot within 48 hours and lower intensity by one step.,"[""session_rpe"", ""interval_count"", ""peak_heart_rate""]"
activity_032,Visual Mobility Routine - Joint Care,Fitness routine / exercise,73,15,Alternate near and far focus work with controlled visual tracking drills.,"{""times"": 1, ""period"": ""day""}",occupational_therapist,allied_health,office,True,[],"[""Screen brightness reduced""]",[],Move to the next free slot within 48 hours and lower intensity by one step.,"[""routine_minutes"", ""screen_break_count"", ""eye_strain_score""]"
activity_033,Tempo Bike Session - Core Stability,Fitness routine / exercise,75,30,Alternate harder efforts with recovery segments and track response across intervals.,"{""times"": 1, ""period"": ""week""}",self_guided,self,gym,False,"[""stationary_bike""]","[""Hydrate before session""]",[],Move to the next free slot within 48 hours and lower intensity by one step.,"[""peak_heart_rate"", ""session_rpe""]"
activity_034,Resistance Session - Mobility Reset,Fitness routine / exercise,74,75,Complete compound lifts with controlled tempo and moderate load progression.,"{""times"": 2, ""period"": ""week""}",strength_coach,allied_health,gym,True,"[""dumbbell_set""]","[""Prepare workout log""]",[],Move to the next free slot within 48 hours and lower intensity by one step.,"[""sets_completed"", ""session_rpe"", ""load_used""]"
activity_035,Breath-Led Yoga - Recovery Focus,Fitness routine / exercise,69,30,Use slow transitions and extended exhales to support recovery and mobility.,"{""times"": 2, ""period"": ""week""}",health_coach,allied_health,home,True,"[""yoga_mat""]","[""Reduce screen exposure beforehand"", ""Set up quiet room""]",[],Move to the next free slot within 48 hours and lower intensity by one step.,"[""session_minutes"", ""stress_score_post"", ""sleep_readiness""]"
activity_036,Balanced Breakfast - Protein Rebuild,Food consumption,71,30,"Build breakfast around protein, fiber, and steady energy release.","{""times"": 4, ""period"": ""week""}",self_guided,self,home,False,"[""blender_station""]","[""Ingredients prepped the night before"", ""Breakfast logged in nutrition app""]",[],Replace with the closest balanced meal option and record deviation in the nutrition log.,"[""fiber_grams"", ""protein_grams"", ""post_meal_energy""]"
activity_037,Sleep-Support Dinner - Energy Stabilizer,Food consumption,71,30,"Build dinner around vegetables, legumes, and a moderate portion of lean protein.","{""times"": 3, ""period"": ""week""}",self_guided,self,home,False,[],"[""Vegetables chopped in advance"", ""Dinner ingredients thawed""]",[],Replace with the closest balanced meal option and record deviation in the nutrition log.,"[""sleep_quality_next_day"", ""fiber_grams"", ""meal_finish_time""]"
activity_038,Protein-Forward Breakfast - Protein Rebuild,Food consumption,70,20,"Build breakfast around protein, fiber, and steady energy release.","{""times"": 3, ""period"": ""week""}",self_guided,self,home,False,"[""blender_station""]","[""Breakfast logged in nutrition app""]",[],Replace with the closest balanced meal option and record deviation in the nutrition log.,"[""fiber_grams"", ""post_meal_energy""]"
activity_039,Fluid Checkpoint - Energy Stabilizer,Food consumption,70,10,Pause for a structured hydration target and record intake progress.,"{""times"": 1, ""period"": ""day""}",health_coach,allied_health,office,True,[],"[""Water bottle filled""]",[],Replace with the closest balanced meal option and record deviation in the nutrition log.,"[""hydration_ml"", ""urine_color_score""]"
activity_040,Recovery Smoothie - Recovery Plate,Food consumption,72,15,Blend protein and hydration-supportive ingredients after higher-load training.,"{""times"": 2, ""period"": ""week""}",dietitian,allied_health,home,True,"[""blender_station""]","[""Frozen ingredients portioned""]",[],Replace with the closest balanced meal option and record deviation in the nutrition log.,"[""hydration_ml"", ""protein_grams""]"
activity_041,Recovery Smoothie - Energy Stabilizer,Food consumption,71,15,Blend protein and hydration-supportive ingredients after higher-load training.,"{""times"": 2, ""period"": ""week""}",dietitian,allied_health,home,True,"[""blender_station""]","[""Frozen ingredients portioned""]",[],Replace with the closest balanced meal option and record deviation in the nutrition log.,"[""hydration_ml"", ""recovery_score_next_day"", ""protein_grams""]"
activity_042,Balanced Breakfast - Metabolic Support,Food consumption,57,20,"Build breakfast around protein, fiber, and steady energy release.","{""times"": 3, ""period"": ""week""}",self_guided,self,home,False,"[""blender_station""]","[""Ingredients prepped the night before""]",[],Replace with the closest balanced meal option and record deviation in the nutrition log.,"[""post_meal_energy"", ""fiber_grams""]"
activity_043,Sleep-Support Dinner - Gut Support,Food consumption,69,40,"Build dinner around vegetables, legumes, and a moderate portion of lean protein.","{""times"": 2, ""period"": ""week""}",dietitian,allied_health,home,True,[],"[""Dinner ingredients thawed""]",[],Replace with the closest balanced meal option and record deviation in the nutrition log.,"[""meal_finish_time"", ""fiber_grams""]"
activity_044,Mediterranean Lunch - Gut Support,Food consumption,70,30,"Use lean protein, vegetables, and stable carbohydrates for lunch composition.","{""times"": 3, ""period"": ""week""}",dietitian,allied_health,office,True,[],"[""Meal prep container ready""]",[],Replace with the closest balanced meal option and record deviation in the nutrition log.,"[""satiety_score"", ""post_meal_glucose""]"
activity_045,Nutrient With Meal - Recovery Plate,Food consumption,59,10,Pair supplements with a balanced meal to improve consistency.,"{""times"": 4, ""period"": ""week""}",self_guided,self,home,False,[],"[""Supplement pack ready""]",[],Replace with the closest balanced meal option and record deviation in the nutrition log.,"[""supplement_taken"", ""stomach_tolerance""]"
activity_046,Low-Glycemic Lunch - Protein Rebuild,Food consumption,64,30,"Use lean protein, vegetables, and stable carbohydrates for lunch composition.","{""times"": 3, ""period"": ""week""}",self_guided,self,home,False,[],"[""Meal prep container ready""]",[],Replace with the closest balanced meal option and record deviation in the nutrition log.,"[""satiety_score"", ""post_meal_glucose""]"
activity_047,Balanced Dinner - Metabolic Support,Food consumption,57,30,"Build dinner around vegetables, legumes, and a moderate portion of lean protein.","{""times"": 3, ""period"": ""week""}",dietitian,allied_health,home,True,[],"[""Vegetables chopped in advance"", ""Dinner ingredients thawed""]",[],Replace with the closest balanced meal option and record deviation in the nutrition log.,"[""sleep_quality_next_day"", ""meal_finish_time"", ""fiber_grams""]"
activity_048,Electrolyte Checkpoint - Energy Stabilizer,Food consumption,66,10,Pause for a structured hydration target and record intake progress.,"{""times"": 1, ""period"": ""day""}",health_coach,allied_health,home,True,[],"[""Water bottle filled""]",[],Replace with the closest balanced meal option and record deviation in the nutrition log.,"[""urine_color_score"", ""hydration_ml"", ""electrolyte_serving""]"
activity_049,Balanced Breakfast - Energy Stabilizer,Food consumption,69,20,"Build breakfast around protein, fiber, and steady energy release.","{""times"": 3, ""period"": ""week""}",self_guided,self,home,False,"[""blender_station""]","[""Breakfast logged in nutrition app"", ""Ingredients prepped the night before""]",[],Replace with the closest balanced meal option and record deviation in the nutrition log.,"[""fiber_grams"", ""protein_grams""]"
activity_050,Protein Smoothie - Metabolic Support,Food consumption,65,15,Blend protein and hydration-supportive ingredients after higher-load training.,"{""times"": 2, ""period"": ""week""}",self_guided,self,home,False,"[""blender_station""]","[""Frozen ingredients portioned""]",[],Replace with the closest balanced meal option and record deviation in the nutrition log.,"[""hydration_ml"", ""protein_grams""]"
activity_051,Supplement With Meal - Energy Stabilizer,Food consumption,63,10,Pair supplements with a balanced meal to improve consistency.,"{""times"": 4, ""period"": ""week""}",self_guided,self,office,True,[],"[""Supplement pack ready""]",[],Replace with the closest balanced meal option and record deviation in the nutrition log.,"[""stomach_tolerance"", ""supplement_taken""]"
activity_052,Balanced Breakfast - Gut Support,Food consumption,71,20,"Build breakfast around protein, fiber, and steady energy release.","{""times"": 4, ""period"": ""week""}",self_guided,self,home,False,"[""blender_station""]","[""Breakfast logged in nutrition app"", ""Ingredients prepped the night before""]",[],Replace with the closest balanced meal option and record deviation in the nutrition log.,"[""fiber_grams"", ""protein_grams"", ""post_meal_energy""]"
activity_053,Balanced Dinner - Protein Rebuild,Food consumption,68,30,"Build dinner around vegetables, legumes, and a moderate portion of lean protein.","{""times"": 3, ""period"": ""week""}",dietitian,allied_health,home,True,[],"[""Dinner ingredients thawed""]",[],Replace with the closest balanced meal option and record deviation in the nutrition log.,"[""fiber_grams"", ""meal_finish_time"", ""sleep_quality_next_day""]"
activity_054,Balanced Dinner - Recovery Plate,Food consumption,71,40,"Build dinner around vegetables, legumes, and a moderate portion of lean protein.","{""times"": 3, ""period"": ""week""}",dietitian,allied_health,home,True,[],"[""Dinner ingredients thawed"", ""Vegetables chopped in advance""]",[],Replace with the closest balanced meal option and record deviation in the nutrition log.,"[""meal_finish_time"", ""sleep_quality_next_day"", ""fiber_grams""]"
activity_055,Fiber-Rich Dinner - Energy Stabilizer,Food consumption,59,30,"Build dinner around vegetables, legumes, and a moderate portion of lean protein.","{""times"": 3, ""period"": ""week""}",dietitian,allied_health,home,True,[],"[""Vegetables chopped in advance""]",[],Replace with the closest balanced meal option and record deviation in the nutrition log.,"[""fiber_grams"", ""meal_finish_time""]"
activity_056,Balanced Breakfast - Recovery Plate,Food consumption,61,20,"Build breakfast around protein, fiber, and steady energy release.","{""times"": 3, ""period"": ""week""}",self_guided,self,home,False,"[""blender_station""]","[""Ingredients prepped the night before"", ""Breakfast logged in nutrition app""]",[],Replace with the closest balanced meal option and record deviation in the nutrition log.,"[""protein_grams"", ""fiber_grams""]"
activity_057,Nutrient With Meal - Energy Stabilizer,Food consumption,58,10,Pair supplements with a balanced meal to improve consistency.,"{""times"": 5, ""period"": ""week""}",self_guided,self,office,True,[],"[""Supplement pack ready""]",[],Replace with the closest balanced meal option and record deviation in the nutrition log.,"[""stomach_tolerance"", ""meal_timestamp"", ""supplement_taken""]"
activity_058,Recovery Smoothie - Protein Rebuild,Food consumption,65,15,Blend protein and hydration-supportive ingredients after higher-load training.,"{""times"": 2, ""period"": ""week""}",self_guided,self,home,False,"[""blender_station""]","[""Frozen ingredients portioned""]",[],Replace with the closest balanced meal option and record deviation in the nutrition log.,"[""recovery_score_next_day"", ""protein_grams""]"
activity_059,Sleep-Support Dinner - Recovery Plate,Food consumption,62,40,"Build dinner around vegetables, legumes, and a moderate portion of lean protein.","{""times"": 2, ""period"": ""week""}",self_guided,self,home,False,[],"[""Dinner ingredients thawed""]",[],Replace with the closest balanced meal option and record deviation in the nutrition log.,"[""meal_finish_time"", ""fiber_grams"", ""sleep_quality_next_day""]"
activity_060,Supplement With Meal - Gut Support,Food consumption,62,10,Pair supplements with a balanced meal to improve consistency.,"{""times"": 5, ""period"": ""week""}",self_guided,self,home,False,[],"[""Supplement pack ready""]",[],Replace with the closest balanced meal option and record deviation in the nutrition log.,"[""meal_timestamp"", ""stomach_tolerance""]"
activity_061,Daily Medication Dose - Daily Adherence,Medication consumption,89,10,Take the prescribed maintenance medication exactly as listed in the plan.,"{""times"": 1, ""period"": ""day""}",self_guided,self,home,False,"[""blood_pressure_cuff""]","[""Dose reminder active""]",[],Flag for clinician review if skipped; do not double dose without instructions.,"[""side_effect_score"", ""blood_pressure_reading""]"
activity_062,Daily Medication Dose - Morning Routine,Medication consumption,77,10,Take the prescribed maintenance medication exactly as listed in the plan.,"{""times"": 1, ""period"": ""day""}",self_guided,self,home,False,"[""blood_pressure_cuff""]","[""Dose reminder active"", ""Medication organizer refilled""]",[],Flag for clinician review if skipped; do not double dose without instructions.,"[""dose_taken"", ""blood_pressure_reading""]"
activity_063,Daily Vitamin Dose - Daily Adherence,Medication consumption,91,10,Take the planned vitamin dose with food and mark adherence in the tracker.,"{""times"": 1, ""period"": ""day""}",self_guided,self,travel,True,[],"[""Medication organizer refilled""]",[],Flag for clinician review if skipped; do not double dose without instructions.,"[""missed_dose_flag"", ""dose_taken"", ""time_taken""]"
activity_064,Refill Check - Daily Adherence,Medication consumption,84,20,Review remaining medication supply and place a refill request before the final week of stock.,"{""times"": 1, ""period"": ""month""}",self_guided,self,home,False,[],"[""Pharmacy details available""]",[],Flag for clinician review if skipped; do not double dose without instructions.,"[""days_of_supply_left"", ""refill_requested"", ""med_list_updated""]"
activity_065,Evening Magnesium Dose - Daily Adherence,Medication consumption,87,10,Take magnesium in the evening and monitor any effect on sleep readiness.,"{""times"": 1, ""period"": ""day""}",self_guided,self,travel,True,[],"[""Medication organizer refilled""]",[],Flag for clinician review if skipped; do not double dose without instructions.,"[""GI_tolerance"", ""dose_taken""]"
activity_066,Medication Check - Morning Routine,Medication consumption,81,20,Review remaining medication supply and place a refill request before the final week of stock.,"{""times"": 1, ""period"": ""month""}",health_coach,allied_health,office,True,[],"[""Pharmacy details available""]",[],Flag for clinician review if skipped; do not double dose without instructions.,"[""med_list_updated"", ""days_of_supply_left""]"
activity_067,Evening Magnesium Dose - Travel-Safe Pack,Medication consumption,78,10,Take magnesium in the evening and monitor any effect on sleep readiness.,"{""times"": 1, ""period"": ""day""}",self_guided,self,travel,True,[],"[""Medication organizer refilled""]",[],Flag for clinician review if skipped; do not double dose without instructions.,"[""sleep_latency"", ""GI_tolerance""]"
activity_068,Daily Medication Dose - Evening Routine,Medication consumption,91,10,Take the prescribed maintenance medication exactly as listed in the plan.,"{""times"": 1, ""period"": ""day""}",self_guided,self,home,False,"[""blood_pressure_cuff""]","[""Dose reminder active"", ""Medication organizer refilled""]",[],Flag for clinician review if skipped; do not double dose without instructions.,"[""blood_pressure_reading"", ""side_effect_score"", ""dose_taken""]"
activity_069,Daily Vitamin Dose - Travel-Safe Pack,Medication consumption,93,10,Take the planned vitamin dose with food and mark adherence in the tracker.,"{""times"": 1, ""period"": ""day""}",self_guided,self,home,False,[],"[""Medication organizer refilled""]",[],Flag for clinician review if skipped; do not double dose without instructions.,"[""missed_dose_flag"", ""dose_taken""]"
activity_070,Supply Check - Evening Routine,Medication consumption,91,20,Review remaining medication supply and place a refill request before the final week of stock.,"{""times"": 1, ""period"": ""month""}",health_coach,allied_health,office,True,[],"[""Pharmacy details available""]",[],Flag for clinician review if skipped; do not double dose without instructions.,"[""refill_requested"", ""med_list_updated"", ""days_of_supply_left""]"
activity_071,Prescription Medication Dose - Daily Adherence,Medication consumption,88,10,Take the prescribed maintenance medication exactly as listed in the plan.,"{""times"": 1, ""period"": ""day""}",self_guided,self,home,False,"[""blood_pressure_cuff""]","[""Medication organizer refilled"", ""Dose reminder active""]",[],Flag for clinician review if skipped; do not double dose without instructions.,"[""blood_pressure_reading"", ""side_effect_score"", ""dose_taken""]"
activity_072,Daily Medication Dose - Maintenance Cycle,Medication consumption,92,10,Take the prescribed maintenance medication exactly as listed in the plan.,"{""times"": 1, ""period"": ""day""}",self_guided,self,home,False,"[""blood_pressure_cuff""]","[""Medication organizer refilled"", ""Dose reminder active""]",[],Flag for clinician review if skipped; do not double dose without instructions.,"[""side_effect_score"", ""dose_taken""]"
activity_073,Supply Check - Daily Adherence,Medication consumption,88,20,Review remaining medication supply and place a refill request before the final week of stock.,"{""times"": 1, ""period"": ""month""}",self_guided,self,home,False,[],"[""Pharmacy details available""]",[],Flag for clinician review if skipped; do not double dose without instructions.,"[""days_of_supply_left"", ""med_list_updated"", ""refill_requested""]"
activity_074,Consistency Vitamin Dose - Evening Routine,Medication consumption,88,10,Take the planned vitamin dose with food and mark adherence in the tracker.,"{""times"": 1, ""period"": ""day""}",self_guided,self,home,False,[],"[""Medication organizer refilled""]",[],Flag for clinician review if skipped; do not double dose without instructions.,"[""dose_taken"", ""missed_dose_flag""]"
activity_075,Medication Check - Evening Routine,Medication consumption,91,20,Review remaining medication supply and place a refill request before the final week of stock.,"{""times"": 1, ""period"": ""month""}",health_coach,allied_health,home,True,[],"[""Pharmacy details available""]",[],Flag for clinician review if skipped; do not double dose without instructions.,"[""refill_requested"", ""med_list_updated""]"
activity_076,Daily Vitamin Dose - Maintenance Cycle,Medication consumption,78,10,Take the planned vitamin dose with food and mark adherence in the tracker.,"{""times"": 1, ""period"": ""day""}",self_guided,self,travel,True,[],"[""Medication organizer refilled""]",[],Flag for clinician review if skipped; do not double dose without instructions.,"[""dose_taken"", ""time_taken""]"
activity_077,Maintenance Medication Dose - Daily Adherence,Medication consumption,81,10,Take the prescribed maintenance medication exactly as listed in the plan.,"{""times"": 1, ""period"": ""day""}",self_guided,self,home,False,"[""blood_pressure_cuff""]","[""Dose reminder active""]",[],Flag for clinician review if skipped; do not double dose without instructions.,"[""side_effect_score"", ""dose_taken""]"
activity_078,Weekly Injection Window - Maintenance Cycle,Medication consumption,86,15,Administer the weekly medication during a stable routine window and record the site used.,"{""times"": 1, ""period"": ""week""}",self_guided,self,home,False,[],"[""Sharps bin nearby""]",[],Flag for clinician review if skipped; do not double dose without instructions.,"[""symptom_score_next_day"", ""injection_site""]"
activity_079,Prescription Medication Dose - Travel-Safe Pack,Medication consumption,97,10,Take the prescribed maintenance medication exactly as listed in the plan.,"{""times"": 1, ""period"": ""day""}",self_guided,self,home,False,"[""blood_pressure_cuff""]","[""Medication organizer refilled"", ""Dose reminder active""]",[],Flag for clinician review if skipped; do not double dose without instructions.,"[""blood_pressure_reading"", ""dose_taken""]"
